cas_number,compound_name,related_cas,source_sheet
10028-15-6,オゾン,10028-15-6,R8.4時点適用対象物質及び裾切値一覧
10034-81-8,過塩素酸のアンモニウム塩、カリウム塩、ナトリウム塩及びマグネシウム塩,"7790-98-9,7778-74-7,7601-89-0,10034-81-8",R8.4時点適用対象物質及び裾切値一覧
10034-93-2,硫酸ヒドラジン,10034-93-2,R8.4時点適用対象物質及び裾切値一覧
10035-10-6,臭化水素,10035-10-6,R8.4時点適用対象物質及び裾切値一覧
10039-54-0,硫酸ヒドロキシルアミン（別名硫酸ヒドロキシルアンモニウム）,10039-54-0,R8.4時点適用対象物質及び裾切値一覧
10042-76-9,硝酸ストロンチウム,10042-76-9,R8.4時点適用対象物質及び裾切値一覧
10043-35-3,ほう酸及びそのナトリウム塩,"10043-35-3,1330-43-4",R8.4時点適用対象物質及び裾切値一覧
10043-52-4,塩化カルシウム,10043-52-4,R8.4時点適用対象物質及び裾切値一覧
10049-04-4,二酸化塩素,10049-04-4,R8.4時点適用対象物質及び裾切値一覧
100784-20-1,メチル＝３－クロロ－５－（４，６－ジメトキシ－２－ピリミジニルカルバモイルスルファモイル）－１－メチルピラゾール－４－カルボキシラート（別名ハロスルフロンメチル）,100784-20-1,R8.4時点適用対象物質及び裾切値一覧
101-02-0,亜りん酸トリフェニル,101-02-0,R8.4時点適用対象物質及び裾切値一覧
101-05-3,４，６－ジクロロ－Ｎ－（２－クロロフェニル）－１，３，５－トリアジン－２－アミン,101-05-3,R8.4時点適用対象物質及び裾切値一覧
101-14-4,３，３’－ジクロロ－４，４’－ジアミノジフェニルメタン,101-14-4,R8.4時点適用対象物質及び裾切値一覧
101-21-3,イソプロピル＝３－クロロカルバニラート（別名クロルプロファム又はＩＰＣ）,101-21-3,R8.4時点適用対象物質及び裾切値一覧
101-25-7,３，７－ジニトロソ－１，３，５，７－テトラアザビシクロ［３．３．１］ノナン,101-25-7,R8.4時点適用対象物質及び裾切値一覧
101-27-9,Ｎ－（３－クロロフェニル）カルバミン酸４－クロロ－２－ブチニル,101-27-9,R8.4時点適用対象物質及び裾切値一覧
101-37-1,２，４，６－トリス（アリルオキシ）－１，３，５－トリアジン,101-37-1,R8.4時点適用対象物質及び裾切値一覧
101-43-9,メタクリル酸シクロヘキシル,101-43-9,R8.4時点適用対象物質及び裾切値一覧
101-54-2,４－アミノジフェニルアミン,101-54-2,R8.4時点適用対象物質及び裾切値一覧
101-61-1,４，４’－メチレンビス（Ｎ，Ｎ－ジメチルアニリン）,101-61-1,R8.4時点適用対象物質及び裾切値一覧
101-68-8,１，１’－メチレンビス（イソシアナトベンゼン）,"26447-40-5,101-68-8,5873-54-1",R8.4時点適用対象物質及び裾切値一覧
101-72-4,Ｎ－イソプロピル－Ｎ’－フェニル－パラ－フェニレンジアミン,101-72-4,R8.4時点適用対象物質及び裾切値一覧
101-77-9,４，４’－メチレンジアニリン,101-77-9,R8.4時点適用対象物質及び裾切値一覧
101-80-4,４，４’－ジアミノジフェニルエーテル,101-80-4,R8.4時点適用対象物質及び裾切値一覧
101-83-7,ジシクロヘキシルアミン,101-83-7,R8.4時点適用対象物質及び裾切値一覧
101-84-8,ジフェニルエーテル,101-84-8,R8.4時点適用対象物質及び裾切値一覧
101-86-0,２－ベンジリデンオクタナール,101-86-0,R8.4時点適用対象物質及び裾切値一覧
101-90-6,１，３－ビス［（２，３－エポキシプロピル）オキシ］ベンゼン,101-90-6,R8.4時点適用対象物質及び裾切値一覧
10102-43-9,一酸化窒素,10102-43-9,R8.4時点適用対象物質及び裾切値一覧
10102-44-0,二酸化窒素,10102-44-0,R8.4時点適用対象物質及び裾切値一覧
1011-73-0,ナトリウム＝２，４－ジニトロフェノラート,1011-73-0,R8.4時点適用対象物質及び裾切値一覧
10124-37-5,硝酸カルシウム,10124-37-5,R8.4時点適用対象物質及び裾切値一覧
1014-70-6,２，４－ビス（エチルアミノ）－６－メチルチオ－１，３，５－トリアジン（別名シメトリン）,1014-70-6,R8.4時点適用対象物質及び裾切値一覧
101463-69-8,１－［４－［２－クロロ－４－（トリフルオロメチル）フェノキシ］－２－フルオロフェニル］－３－（２，６－ジフルオロベンゾイル）尿素（別名フルフェノクスロン）,101463-69-8,R9.4追加等対象物質及び裾切値一覧
10192-29-7,塩素酸並びにそのアンモニウム塩、カリウム塩及びナトリウム塩,"7790-93-4,10192-29-7,3811-04-9,7775-09-9",R8.4時点適用対象物質及び裾切値一覧
10196-18-6,硝酸亜鉛（Ⅱ）及びその六水和物,"7779-88-6,10196-18-6",R8.4時点適用対象物質及び裾切値一覧
102-06-7,１，３－ジフェニルグアニジン,102-06-7,R8.4時点適用対象物質及び裾切値一覧
102-08-9,Ｎ，Ｎ’－ジフェニルチオ尿素,102-08-9,R8.4時点適用対象物質及び裾切値一覧
102-09-0,炭酸ジフェニル,102-09-0,R8.4時点適用対象物質及び裾切値一覧
102-27-2,Ｎ－エチル－メタ－トルイジン,102-27-2,R8.4時点適用対象物質及び裾切値一覧
102-36-3,イソシアン酸３，４－ジクロロフェニル,102-36-3,R8.4時点適用対象物質及び裾切値一覧
102-54-5,ジシクロペンタジエニル鉄,102-54-5,R8.4時点適用対象物質及び裾切値一覧
102-69-2,トリプロピルアミン,102-69-2,R8.4時点適用対象物質及び裾切値一覧
102-70-5,トリアリルアミン,102-70-5,R8.4時点適用対象物質及び裾切値一覧
102-71-6,トリエタノールアミン,102-71-6,R8.4時点適用対象物質及び裾切値一覧
102-77-2,２－（モルホリノチオ）ベンゾチアゾール,102-77-2,R8.4時点適用対象物質及び裾切値一覧
102-81-8,２－（ジ－ノルマル－ブチルアミノ）エタノール,102-81-8,R8.4時点適用対象物質及び裾切値一覧
102-82-9,トリブチルアミン,102-82-9,R8.4時点適用対象物質及び裾切値一覧
10213-79-3,メタけい酸ナトリウム並びにその五水和物及び九水和物,"6834-92-0,10213-79-3,13517-24-3",R8.4時点適用対象物質及び裾切値一覧
10222-01-2,２，２－ジブロモ－２－シアノアセトアミド,10222-01-2,R8.4時点適用対象物質及び裾切値一覧
10233-03-1,次亜塩素酸マグネシウム,10233-03-1,R9.4追加等対象物質及び裾切値一覧
1024-57-3,１，４，５，６，７，８，８－ヘプタクロロ－２，３－エポキシ－２，３，３ａ，４，７，７ａ－ヘキサヒドロ－４，７－メタノ－１Ｈ－インデン（別名ヘプタクロルエポキシド）,1024-57-3,R8.4時点適用対象物質及び裾切値一覧
1025-15-6,１，３，５－トリス－２’－プロペニルイソシアヌル酸,1025-15-6,R8.4時点適用対象物質及び裾切値一覧
10265-92-6,アミドチオりん酸Ｏ，Ｓ－ジメチル,10265-92-6,R8.4時点適用対象物質及び裾切値一覧
102851-06-9,（ＲＳ）－アルファ－シアノ－３－フェノキシベンジル＝Ｎ－（２－クロロ－アルファ，アルファ，アルファ－トリフルオロ－パラ－トリル）－Ｄ－バリナート（別名フルバリネート）,102851-06-9,R8.4時点適用対象物質及び裾切値一覧
10294-33-4,三臭化ほう素,10294-33-4,R8.4時点適用対象物質及び裾切値一覧
10294-34-5,三塩化ほう素,10294-34-5,R8.4時点適用対象物質及び裾切値一覧
103-11-7,アクリル酸２－エチルヘキシル,103-11-7,R8.4時点適用対象物質及び裾切値一覧
103-23-1,アジピン酸ジ－２－エチルヘキシル,103-23-1,R9.4追加等対象物質及び裾切値一覧
103-33-3,アゾベンゼン（別名ジフェニルジアゼン）,103-33-3,R8.4時点適用対象物質及び裾切値一覧
103-44-6,３－［（ビニルオキシ）メチル］ヘプタン,103-44-6,R8.4時点適用対象物質及び裾切値一覧
103-50-4,ジベンジルエーテル,103-50-4,R8.4時点適用対象物質及び裾切値一覧
103-60-6,２－フェノキシエチル＝イソブチラート,103-60-6,R9.4追加等対象物質及び裾切値一覧
103-63-9,（２－ブロモエチル）ベンゼン,103-63-9,R8.4時点適用対象物質及び裾切値一覧
103-64-0,ベータ－ブロモスチレン,103-64-0,R8.4時点適用対象物質及び裾切値一覧
103-65-1,プロピルベンゼン,103-65-1,R8.4時点適用対象物質及び裾切値一覧
103-69-5,Ｎ－エチルアニリン,103-69-5,R8.4時点適用対象物質及び裾切値一覧
103-71-9,フェニルイソシアネート,103-71-9,R8.4時点適用対象物質及び裾切値一覧
103-73-1,エトキシベンゼン,103-73-1,R8.4時点適用対象物質及び裾切値一覧
103-83-3,Ｎ，Ｎ－ジメチルベンジルアミン,103-83-3,R8.4時点適用対象物質及び裾切値一覧
103-84-4,アセトアニリド,103-84-4,R8.4時点適用対象物質及び裾切値一覧
103-90-2,Ｎ－（４－ヒドロキシフェニル）アセトアミド,103-90-2,R8.4時点適用対象物質及び裾切値一覧
103-95-7,３－（４－イソプロピルフェニル）－２－メチルプロパナール,103-95-7,R9.4追加等対象物質及び裾切値一覧
103055-07-8,（ＲＳ）－１－［２，５－ジクロロ－４－（１，１，２，３，３，３－ヘキサフルオロプロポキシ）フェニル］－３－（２，６－ジフルオロベンゾイル）尿素（別名ルフェヌロン）,103055-07-8,R8.4時点適用対象物質及び裾切値一覧
10311-84-9,ジチオりん酸Ｓ－［２－クロロ－１－（１，３－ジオキソイソインドリン－２－イル）エチル］－Ｏ，Ｏ－ジエチル,10311-84-9,R8.4時点適用対象物質及び裾切値一覧
10326-41-7,乳酸,"50-21-5,598-82-3,79-33-4,10326-41-7",R8.4時点適用対象物質及び裾切値一覧
10332-33-9,過ほう酸ナトリウム並びにその一水和物、三水和物及び四水和物,"7632-04-4,10332-33-9,10486-00-7,13517-20-9",R8.4時点適用対象物質及び裾切値一覧
10361-44-1,硝酸ビスマス（Ⅲ）,10361-44-1,R8.4時点適用対象物質及び裾切値一覧
10377-48-7,硫酸リチウム,10377-48-7,R8.4時点適用対象物質及び裾切値一覧
10377-60-3,硝酸マグネシウム及びその六水和物,"10377-60-3,13446-18-9",R8.4時点適用対象物質及び裾切値一覧
104-15-4,４－メチルベンゼンスルホン酸,104-15-4,R8.4時点適用対象物質及び裾切値一覧
104-51-8,ブチルベンゼン,104-51-8,R8.4時点適用対象物質及び裾切値一覧
104-55-2,３－フェニルアクリルアルデヒド,104-55-2,R9.4追加等対象物質及び裾切値一覧
104-75-6,２－エチルヘキシルアミン,104-75-6,R8.4時点適用対象物質及び裾切値一覧
104-76-7,２－エチル－１－ヘキサノール,104-76-7,R8.4時点適用対象物質及び裾切値一覧
104-78-9,３－（ジエチルアミノ）プロピルアミン,104-78-9,R8.4時点適用対象物質及び裾切値一覧
104-82-5,パラ－メチルベンジル＝クロリド,104-82-5,R8.4時点適用対象物質及び裾切値一覧
104-83-6,パラ－クロロベンジルクロリド,104-83-6,R8.4時点適用対象物質及び裾切値一覧
104-87-0,４－メチルベンズアルデヒド,104-87-0,R8.4時点適用対象物質及び裾切値一覧
104-88-1,４－クロロベンズアルデヒド,104-88-1,R8.4時点適用対象物質及び裾切値一覧
104-90-5,５－エチル－２－メチルピリジン,104-90-5,R8.4時点適用対象物質及び裾切値一覧
104-94-9,パラ－アニシジン,104-94-9,R8.4時点適用対象物質及び裾切値一覧
10453-86-8,５－ベンジル－３－フリルメチル＝（１ＲＳ）－シス－トランス－２，２－ジメチル－３－（２－メチルプロパ－１－エニル）シクロプロパンカルボキシラート（別名レスメトリン）,10453-86-8,R8.4時点適用対象物質及び裾切値一覧
10461-98-0,シクロヘキシリデン（フェニル）アセトニトリル,10461-98-0,R9.4追加等対象物質及び裾切値一覧
10470-01-6,２－シクロヘキシルビフェニル,10470-01-6,R8.4時点適用対象物質及び裾切値一覧
10476-85-4,塩化ストロンチウム,10476-85-4,R8.4時点適用対象物質及び裾切値一覧
10486-00-7,過ほう酸ナトリウム並びにその一水和物、三水和物及び四水和物,"7632-04-4,10332-33-9,10486-00-7,13517-20-9",R8.4時点適用対象物質及び裾切値一覧
105-05-5,ジエチルベンゼン,"135-01-3,141-93-5,105-05-5",R8.4時点適用対象物質及び裾切値一覧
105-06-6,ジビニルベンゼン,"1321-74-0,108-57-6,105-06-6",R8.4時点適用対象物質及び裾切値一覧
105-11-3,パラ－ベンゾキノンジオキシム,105-11-3,R8.4時点適用対象物質及び裾切値一覧
105-16-8,メタクリル酸２－（ジエチルアミノ）エチル,105-16-8,R8.4時点適用対象物質及び裾切値一覧
105-36-2,ブロモ酢酸エチル,105-36-2,R8.4時点適用対象物質及び裾切値一覧
105-37-3,プロピオン酸エチル,105-37-3,R8.4時点適用対象物質及び裾切値一覧
105-38-4,プロピオン酸ビニル,105-38-4,R8.4時点適用対象物質及び裾切値一覧
105-39-5,クロロ酢酸エチル,105-39-5,R8.4時点適用対象物質及び裾切値一覧
105-45-3,アセト酢酸メチル,105-45-3,R8.4時点適用対象物質及び裾切値一覧
105-46-4,酢酸ブチル,"123-86-4,110-19-0,540-88-5,105-46-4",R8.4時点適用対象物質及び裾切値一覧
105-48-6,２－クロロ酢酸イソプロピル,105-48-6,R8.4時点適用対象物質及び裾切値一覧
105-53-3,マロン酸ジエチル,105-53-3,R8.4時点適用対象物質及び裾切値一覧
105-54-4,ブタン酸エチル,105-54-4,R8.4時点適用対象物質及び裾切値一覧
105-55-5,Ｎ，Ｎ’－ジエチルチオ尿素,105-55-5,R8.4時点適用対象物質及び裾切値一覧
105-57-7,１，１－ジエトキシエタン,105-57-7,R8.4時点適用対象物質及び裾切値一覧
105-58-8,炭酸ジエチル,105-58-8,R8.4時点適用対象物質及び裾切値一覧
105-59-9,メチルジエタノールアミン,105-59-9,R8.4時点適用対象物質及び裾切値一覧
105-60-2,イプシロン－カプロラクタム,105-60-2,R8.4時点適用対象物質及び裾切値一覧
105-64-6,ジイソプロピルペルオキシジカルボナート,105-64-6,R8.4時点適用対象物質及び裾切値一覧
105-67-9,２，４－キシレノール,105-67-9,R8.4時点適用対象物質及び裾切値一覧
105-74-8,ジラウロイルペルオキシド,105-74-8,R8.4時点適用対象物質及び裾切値一覧
105-76-0,マレイン酸ジブチル,105-76-0,R9.4追加等対象物質及び裾切値一覧
105-87-3,（２Ｅ）－３，７－ジメチルオクタ－２，６－ジエニル＝アセタート（別名酢酸ゲラニル）,105-87-3,R9.4追加等対象物質及び裾切値一覧
105-99-7,アジピン酸ジブチル,105-99-7,R8.4時点適用対象物質及び裾切値一覧
105024-66-6,（４－エトキシフェニル）［３－（４－フルオロ－３－フェノキシフェニル）プロピル］ジメチルシラン（別名シラフルオフェン）,105024-66-6,R9.4追加等対象物質及び裾切値一覧
10544-72-6,四酸化二窒素,10544-72-6,R8.4時点適用対象物質及び裾切値一覧
10545-99-0,二塩化硫黄,10545-99-0,R8.4時点適用対象物質及び裾切値一覧
105735-71-5,３，７－ジニトロフルオランテン,105735-71-5,R8.4時点適用対象物質及び裾切値一覧
105779-78-0,５－クロロ－Ｎ－［２－［４－（２－エトキシエチル）－２，３－ジメチルフェノキシ］エチル］－６－エチルピリミジン－４－アミン（別名ピリミジフェン）,105779-78-0,R8.4時点適用対象物質及び裾切値一覧
105827-78-9,１－（６－クロロ－３－ピリジルメチル）－Ｎ－ニトロイミダゾリジン－２－イリデンアミン（別名イミダクロプリド）,105827-78-9,R8.4時点適用対象物質及び裾切値一覧
10595-95-6,Ｎ－メチル－Ｎ－ニトロソエチルアミン,10595-95-6,R8.4時点適用対象物質及び裾切値一覧
106-23-0,３，７－ジメチルオクタ－６－エナール,106-23-0,R8.4時点適用対象物質及び裾切値一覧
106-24-1,（Ｅ）－３，７－ジメチルオクタ－２，６－ジエン－１－オール（別名ゲラニオール）,106-24-1,R8.4時点適用対象物質及び裾切値一覧
106-27-4,酪酸イソペンチル,106-27-4,R8.4時点適用対象物質及び裾切値一覧
106-31-0,無水酪酸,106-31-0,R8.4時点適用対象物質及び裾切値一覧
106-35-4,ノルマル－ブチルエチルケトン,106-35-4,R8.4時点適用対象物質及び裾切値一覧
106-37-6,パラ－ジブロモベンゼン,106-37-6,R8.4時点適用対象物質及び裾切値一覧
106-41-2,パラ－ブロモフェノール,106-41-2,R8.4時点適用対象物質及び裾切値一覧
106-42-3,キシレン,"1330-20-7,95-47-6,108-38-3,106-42-3",R8.4時点適用対象物質及び裾切値一覧
106-43-4,パラ－クロロトルエン,106-43-4,R8.4時点適用対象物質及び裾切値一覧
106-44-5,クレゾール,"1319-77-3,95-48-7,108-39-4,106-44-5",R8.4時点適用対象物質及び裾切値一覧
106-46-7,パラ－ジクロロベンゼン,106-46-7,R8.4時点適用対象物質及び裾切値一覧
106-47-8,パラ－クロロアニリン,106-47-8,R8.4時点適用対象物質及び裾切値一覧
106-48-9,クロロフェノール,"25167-80-0,95-57-8,108-43-0,106-48-9",R8.4時点適用対象物質及び裾切値一覧
106-49-0,トルイジン,"26915-12-8,95-53-4,108-44-1,106-49-0",R8.4時点適用対象物質及び裾切値一覧
106-50-3,フェニレンジアミン,"108-45-2,106-50-3,95-54-5",R8.4時点適用対象物質及び裾切値一覧
106-51-4,パラ－ベンゾキノン,106-51-4,R8.4時点適用対象物質及び裾切値一覧
106-63-8,アクリル酸イソブチル,106-63-8,R8.4時点適用対象物質及び裾切値一覧
106-65-0,コハク酸ジメチル,106-65-0,R8.4時点適用対象物質及び裾切値一覧
106-68-3,オクタン－３－オン,106-68-3,R8.4時点適用対象物質及び裾切値一覧
106-74-1,アクリル酸２－エトキシエチル,106-74-1,R8.4時点適用対象物質及び裾切値一覧
106-75-2,２，２’－オキシジエチルビス（クロロホルマート）,106-75-2,R8.4時点適用対象物質及び裾切値一覧
106-87-6,４－ビニルシクロヘキセンジオキシド,106-87-6,R8.4時点適用対象物質及び裾切値一覧
106-88-7,１，２－酸化ブチレン,106-88-7,R8.4時点適用対象物質及び裾切値一覧
106-89-8,エピクロロヒドリン,106-89-8,R8.4時点適用対象物質及び裾切値一覧
106-90-1,アクリル酸グリシジル,106-90-1,R8.4時点適用対象物質及び裾切値一覧
106-91-2,メタクリル酸２，３－エポキシプロピル,106-91-2,R8.4時点適用対象物質及び裾切値一覧
106-92-3,１－アリルオキシ－２，３－エポキシプロパン,106-92-3,R8.4時点適用対象物質及び裾切値一覧
106-93-4,１，２－ジブロモエタン（別名ＥＤＢ）,106-93-4,R8.4時点適用対象物質及び裾切値一覧
106-94-5,１－ブロモプロパン,106-94-5,R8.4時点適用対象物質及び裾切値一覧
106-95-6,３－ブロモ－１－プロペン（別名臭化アリル）,106-95-6,R8.4時点適用対象物質及び裾切値一覧
106-96-7,３－ブロモプロピン,106-96-7,R8.4時点適用対象物質及び裾切値一覧
106-97-8,ブタン,106-97-8,R8.4時点適用対象物質及び裾切値一覧
106-98-9,ブテン,"25167-67-3,106-98-9,107-01-7,590-18-1,624-64-6,115-11-7",R8.4時点適用対象物質及び裾切値一覧
106-99-0,１，３－ブタジエン,106-99-0,R8.4時点適用対象物質及び裾切値一覧
10605-21-7,メチル＝ベンゾイミダゾール－２－イルカルバマート（別名カルベンダジム）,10605-21-7,R8.4時点適用対象物質及び裾切値一覧
1066-40-6,トリメチルシラノール,1066-40-6,R8.4時点適用対象物質及び裾切値一覧
1067-53-4,［トリス（２－メトキシエトキシ）］（ビニル）シラン,1067-53-4,R9.4追加等対象物質及び裾切値一覧
1068-27-5,２，５－ビス（ターシャリ－ブチルペルオキシ）－２，５－ジメチルヘキサ－３－イン,1068-27-5,R8.4時点適用対象物質及び裾切値一覧
1069-66-5,ナトリウム＝２－プロピルペンタノアート,1069-66-5,R8.4時点適用対象物質及び裾切値一覧
106917-52-6,２’，４－ジクロロ－アルファ，アルファ，アルファ－トリフルオロ－４’－ニトロメタトルエンスルホンアニリド（別名フルスルファミド）,106917-52-6,R8.4時点適用対象物質及び裾切値一覧
107-01-7,ブテン,"25167-67-3,106-98-9,107-01-7,590-18-1,624-64-6,115-11-7",R8.4時点適用対象物質及び裾切値一覧
107-02-8,アクロレイン,107-02-8,R8.4時点適用対象物質及び裾切値一覧
107-03-9,プロパン－１－チオール,107-03-9,R8.4時点適用対象物質及び裾切値一覧
107-04-0,１－ブロモ－２－クロロエタン,107-04-0,R8.4時点適用対象物質及び裾切値一覧
107-05-1,塩化アリル,107-05-1,R8.4時点適用対象物質及び裾切値一覧
107-06-2,１，２－ジクロロエタン,107-06-2,R8.4時点適用対象物質及び裾切値一覧
107-07-3,エチレンクロロヒドリン,107-07-3,R8.4時点適用対象物質及び裾切値一覧
107-10-8,プロピルアミン,107-10-8,R8.4時点適用対象物質及び裾切値一覧
107-11-9,３－アミノ－１－プロペン,107-11-9,R8.4時点適用対象物質及び裾切値一覧
107-12-0,プロパンニトリル（別名プロピオノニトリル）,107-12-0,R8.4時点適用対象物質及び裾切値一覧
107-13-1,アクリロニトリル,107-13-1,R8.4時点適用対象物質及び裾切値一覧
107-14-2,クロロアセトニトリル,107-14-2,R8.4時点適用対象物質及び裾切値一覧
107-15-3,エチレンジアミン,107-15-3,R8.4時点適用対象物質及び裾切値一覧
107-16-4,２－ヒドロキシアセトニトリル,107-16-4,R8.4時点適用対象物質及び裾切値一覧
107-18-6,アリルアルコール,107-18-6,R8.4時点適用対象物質及び裾切値一覧
107-19-7,２－プロピン－１－オール,107-19-7,R8.4時点適用対象物質及び裾切値一覧
107-20-0,クロロアセトアルデヒド,107-20-0,R8.4時点適用対象物質及び裾切値一覧
107-21-1,エチレングリコール,107-21-1,R8.4時点適用対象物質及び裾切値一覧
107-22-2,グリオキサール,107-22-2,R8.4時点適用対象物質及び裾切値一覧
107-25-5,メトキシエテン,107-25-5,R8.4時点適用対象物質及び裾切値一覧
107-30-2,クロロメチルメチルエーテル,107-30-2,R8.4時点適用対象物質及び裾切値一覧
107-31-3,ぎ酸メチル,107-31-3,R8.4時点適用対象物質及び裾切値一覧
107-39-1,２，４，４－トリメチルペンタ－１－エン,107-39-1,R8.4時点適用対象物質及び裾切値一覧
107-40-4,２，４，４－トリメチルペンタ－２－エン,107-40-4,R8.4時点適用対象物質及び裾切値一覧
107-41-5,２－メチル－２，４－ペンタンジオール,107-41-5,R8.4時点適用対象物質及び裾切値一覧
107-46-0,ヘキサメチルジシロキサン,107-46-0,R8.4時点適用対象物質及び裾切値一覧
107-49-3,テトラエチルピロホスフェイト（別名ＴＥＰＰ）,107-49-3,R8.4時点適用対象物質及び裾切値一覧
107-64-2,Ｎ，Ｎ－ジメチル－Ｎ，Ｎ－ジオクタデシルアンモニウム＝クロリド,107-64-2,R8.4時点適用対象物質及び裾切値一覧
107-66-4,りん酸ジ－ノルマル－ブチル,107-66-4,R8.4時点適用対象物質及び裾切値一覧
107-70-0,４－メトキシ－４－メチルペンタン－２－オン,107-70-0,R8.4時点適用対象物質及び裾切値一覧
107-71-1,過酢酸ターシャリ－ブチル,107-71-1,R8.4時点適用対象物質及び裾切値一覧
107-82-4,１－ブロモ－３－メチルブタン,107-82-4,R8.4時点適用対象物質及び裾切値一覧
107-86-8,３－メチル－２－ブテナール,107-86-8,R8.4時点適用対象物質及び裾切値一覧
107-87-9,メチルプロピルケトン,"107-87-9,563-80-4",R8.4時点適用対象物質及び裾切値一覧
107-92-6,酪酸,107-92-6,R8.4時点適用対象物質及び裾切値一覧
107-94-8,３－クロロプロピオン酸,107-94-8,R8.4時点適用対象物質及び裾切値一覧
107-96-0,ベータ－メルカプトプロピオン酸,107-96-0,R8.4時点適用対象物質及び裾切値一覧
107-98-2,プロピレングリコールモノメチルエーテル,107-98-2,R8.4時点適用対象物質及び裾切値一覧
1071-83-6,グリホサート,1071-83-6,R8.4時点適用対象物質及び裾切値一覧
1071-93-8,ヘキサンジヒドラジド,1071-93-8,R9.4追加等対象物質及び裾切値一覧
1072-35-1,ステアリン酸鉛,1072-35-1,R8.4時点適用対象物質及び裾切値一覧
1072-52-2,２－（１－アジリジニル）エタノール,1072-52-2,R8.4時点適用対象物質及び裾切値一覧
107534-96-3,（ＲＳ）－１－パラ－クロロフェニル－４，４－ジメチル－３－（１Ｈ－１，２，４－トリアゾール－１－イルメチル）ペンタン－３－オール（別名テブコナゾール）,107534-96-3,R8.4時点適用対象物質及び裾切値一覧
108-01-0,２－（ジメチルアミノ）エタノール,108-01-0,R8.4時点適用対象物質及び裾切値一覧
